roomID,seatName,rows,columns,status,Section
5,A1,1,1,100,0
5,A2,1,2,100,0
5,A3,1,3,100,0
5,A4,1,4,100,0
5,A5,1,5,100,0
5,A6,1,6,100,0
5,A7,1,7,100,0
5,A8,1,8,100,0
5,A9,1,9,100,0
5,A10,1,10,100,0
5,B1,2,1,100,0
5,B2,2,2,100,0
5,B3,2,3,100,0
5,B4,2,4,100,0
5,B5,2,5,100,0
5,B6,2,6,100,0
5,B7,2,7,100,0
5,B8,2,8,100,0
5,B9,2,9,100,0
5,B10,2,10,100,0
5,C1,3,1,100,0
5,C2,3,2,100,0
5,C3,3,3,100,0
5,C4,3,4,100,0
5,C5,3,5,100,0
5,C6,3,6,100,0
5,C7,3,7,100,0
5,C8,3,8,100,0
5,C9,3,9,100,0
5,C10,3,10,100,0
5,D1,4,1,100,0
5,D2,4,2,100,0
5,D3,4,3,100,0
5,D4,4,4,100,0
5,D5,4,5,100,0
5,D6,4,6,100,0
5,D7,4,7,100,0
5,D8,4,8,100,0
5,D9,4,9,100,0
5,D10,4,10,100,0
5,E1,5,1,100,0
5,E2,5,2,100,0
5,E3,5,3,100,0
5,E4,5,4,100,0
5,E5,5,5,100,0
5,E6,5,6,100,0
5,E7,5,7,100,0
5,E8,5,8,100,0
5,E9,5,9,100,0
5,E10,5,10,100,0
5,F1,6,1,100,0
5,F2,6,2,100,0
5,F3,6,3,100,0
5,F4,6,4,100,0
5,F5,6,5,100,0
5,F6,6,6,100,0
5,F7,6,7,100,0
5,F8,6,8,100,0
5,F9,6,9,100,0
5,F10,6,10,100,0
5,G1,7,1,100,0
5,G2,7,2,100,0
5,G3,7,3,100,0
5,G4,7,4,100,0
5,G5,7,5,100,0
5,G6,7,6,100,0
5,G7,7,7,100,0
5,G8,7,8,100,0
5,G9,7,9,100,0
5,G10,7,10,100,0
5,H1,8,1,100,0
5,H2,8,2,100,0
5,H3,8,3,100,0
5,H4,8,4,100,0
5,H5,8,5,100,0
5,H6,8,6,100,0
5,H7,8,7,100,0
5,H8,8,8,100,0
5,H9,8,9,100,0
5,H10,8,10,100,0
5,I1,9,1,100,0
5,I2,9,2,100,0
5,I3,9,3,100,0
5,I4,9,4,100,0
5,I5,9,5,100,0
5,I6,9,6,100,0
5,I7,9,7,100,0
5,I8,9,8,100,0
5,I9,9,9,100,0
5,I10,9,10,100,0
5,J1,10,1,100,0
5,J2,10,2,100,0
5,J3,10,3,100,0
5,J4,10,4,100,0
5,J5,10,5,100,0
5,J6,10,6,100,0
5,J7,10,7,100,0
5,J8,10,8,100,0
5,J9,10,9,100,0
5,J10,10,10,100,0
