roomID,seatName,rows,columns,status,Section
1,A1,A,1,100,0
1,A2,A,2,100,0
1,A3,A,3,100,0
1,A4,A,4,100,0
1,A5,A,5,100,0
1,A6,A,6,100,0
1,A7,A,7,100,0
1,A8,A,8,100,0
1,A9,A,9,100,0
1,A10,A,10,100,0
1,B1,B,1,100,0
1,B2,B,2,100,0
1,B3,B,3,100,0
1,B4,B,4,100,0
1,B5,B,5,100,0
1,B6,B,6,100,0
1,B7,B,7,100,0
1,B8,B,8,100,0
1,B9,B,9,100,0
1,B10,B,10,100,0
1,C1,C,1,100,0
1,C2,C,2,100,0
1,C3,C,3,100,0
1,C4,C,4,100,0
1,C5,C,5,100,0
1,C6,C,6,100,0
1,C7,C,7,100,0
1,C8,C,8,100,0
1,C9,C,9,100,0
1,C10,C,10,100,0
1,D1,D,1,100,0
1,D2,D,2,100,0
1,D3,D,3,100,0
1,D4,D,4,100,0
1,D5,D,5,100,0
1,D6,D,6,100,0
1,D7,D,7,100,0
1,D8,D,8,100,0
1,D9,D,9,100,0
1,D10,D,10,100,0
1,E1,E,1,100,0
1,E2,E,2,100,0
1,E3,E,3,100,0
1,E4,E,4,100,0
1,E5,E,5,100,0
1,E6,E,6,100,0
1,E7,E,7,100,0
1,E8,E,8,100,0
1,E9,E,9,100,0
1,E10,E,10,100,0
1,F1,F,1,100,0
1,F2,F,2,100,0
1,F3,F,3,100,0
1,F4,F,4,100,0
1,F5,F,5,100,0
1,F6,F,6,100,0
1,F7,F,7,100,0
1,F8,F,8,100,0
1,F9,F,9,100,0
1,F10,F,10,100,0
1,G1,G,1,100,0
1,G2,G,2,100,0
1,G3,G,3,100,0
1,G4,G,4,100,0
1,G5,G,5,100,0
1,G6,G,6,100,0
1,G7,G,7,100,0
1,G8,G,8,100,0
1,G9,G,9,100,0
1,G10,G,10,100,0
1,H1,H,1,100,0
1,H2,H,2,100,0
1,H3,H,3,100,0
1,H4,H,4,100,0
1,H5,H,5,100,0
1,H6,H,6,100,0
1,H7,H,7,100,0
1,H8,H,8,100,0
1,H9,H,9,100,0
1,H10,H,10,100,0
1,I1,I,1,100,0
1,I2,I,2,100,0
1,I3,I,3,100,0
1,I4,I,4,100,0
1,I5,I,5,100,0
1,I6,I,6,100,0
1,I7,I,7,100,0
1,I8,I,8,100,0
1,I9,I,9,100,0
1,I10,I,10,100,0
1,J1,J,1,100,0
1,J2,J,2,100,0
1,J3,J,3,100,0
1,J4,J,4,100,0
1,J5,J,5,100,0
1,J6,J,6,100,0
1,J7,J,7,100,0
1,J8,J,8,100,0
1,J9,J,9,100,0
1,J10,J,10,100,0
